"Povr?ina, ?tevilo vinogradov in ?tevilo sadik po: VINORODNA DE?ELA IN"
"OKOLI?, VELIKOSTNI RAZREDI, LETO , MERITVE"

" ";" ";"2009";" ";" ";"2015";" ";" "
" ";" ";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)"
"SLOVENIJA"
" ";"0,50 do < 1 ha";1546.0;2221;4999.4;1355.9;1959;4699.9
" ";"1 do < 2 ha";1308.4;973;z;1230.8;910;4434.8
" ";"2 do < 3 ha";463.4;195;1557.3;487.6;202;1795.1
" ";"3 do < 5 ha";369.0;101;1321.8;310.9;84;1174.7
" ";"5 do < 10 ha";279.6;z;1013.1;363.5;z;1344.6
" ";"10 do < 20 ha";z;z;z;319.4;z;998.5
" ";"20 do < 30 ha";121.3;5;386.1;z;z;z
" ";">= 30 ha";z;z;z;z;z;z
"Primorje- Slovenska Istra"
" ";"SKUPAJ";1625.3;2245;5220.4;1807.0;4272;5933.5
" ";"< 0,05 ha";z;119;z;z;490;z
" ";"0,05 do < 0,10 ha";z;317;78.2;77.6;1016;234.3
" ";"0,10 do < 0,20 ha";78.9;540;242.8;169.9;1189;491.8
" ";"0,20 do < 0,30 ha";86.4;352;252.6;122.4;504;346.2
" ";"0,30 do < 0,50 ha";130.1;335;395.0;178.5;458;530.9
" ";"0,50 do < 1 ha";201.3;291;623.0;213.3;311;690.4
" ";"1 do < 2 ha";227.3;164;z;236.6;169;794.2
" ";"2 do < 3 ha";109.9;44;358.9;141.9;56;485.6
" ";"3 do < 5 ha";146.3;40;500.7;105.8;29;406.8
" ";"5 do < 10 ha";172.4;24;622.0;247.0;34;914.6
" ";"10 do < 20 ha";z;z;515.6;z;z;z
" ";"20 do < 30 ha";z;z;z;z;z;z
" ";">= 30 ha";z;z;z;z;z;z
"Primorje- Gori?ka brda (Brda)"
" ";"SKUPAJ";1898.0;3067;6337.5;1764.4;2942;6345.1
" ";"< 0,05 ha";1.6;48;6.1;2.0;55;7.0
" ";"0,05 do < 0,10 ha";11.1;144;34.7;14.3;183;44.9
" ";"0,10 do < 0,20 ha";70.1;462;225.0;72.2;480;240.9
" ";"0,20 do < 0,30 ha";114.1;455;357.1;112.4;451;371.1
" ";"0,30 do < 0,50 ha";262.4;672;845.5;237.0;602;810.1
" ";"0,50 do < 1 ha";542.6;766;1766.6;478.6;682;1704.0
" ";"1 do < 2 ha";548.8;402;1859.3;513.2;376;1876.7
